Song ID,Title,Artist,Original artist,Canonical,Class label
479,Enjoy the silence,Depeche Mode,Depeche Mode,YES,enjoysilen
497,Europe endless,Kraftwerk,Kraftwerk,YES,europeend
499,Everything counts,Depeche Mode,Depeche Mode,YES,everything
504,The exploding boy,The Cure,The Cure,YES,exploding
506,Fascination street,The Cure,The Cure,YES,fascination
509,Favela,Antonio Carlos Jobim,Sergio Mendes trio,YES,favela
510,I feel fine,The Beatles,The Beatles,YES,feelfine
513,Fever,Kylie Minogue,Kylie Minogue,YES,fever_ky
515,The figurehead,The Cure,The Cure,YES,figurehead
520,Fire in Cairo,The Cure,The Cure,YES,fireinca
524,Firth of fifth,Genesis,Genesis,YES,firthof
526,Flaming,Pink Floyd,Pink Floyd,YES,flaming
529,Fly on the windscreen,Depeche Mode,Depeche Mode,YES,flyonthewi
533,Forever,The Cure,The Cure,YES,forever
534,For no one,The Beatles,The Beatles,YES,fornoone
537,Fountain of Salmacis,Genesis,Genesis,YES,fountainof
539,Freelove,Depeche Mode,Depeche Mode,YES,freelove
542,Friday Im in love,The Cure,The Cure,YES,fridayim
547,From me to you,The Beatles,The Beatles,YES,fromme2u
551,Fuga y misterio,Astor Piazzolla,Astor Piazzolla,YES,fugaymist
564,Get back,The Beatles,The Beatles,YES,getback
575,Get the balance right,Depeche Mode,Depeche Mode,YES,getbalanc
579,Getting better,The Beatles,The Beatles,YES,getting
582,The return of the giant Hogweed,Genesis,Genesis,YES,gianthog
584,Gimme gimme gimme,ABBA,ABBA,YES,gimme
593,Girl,The Beatles,The Beatles,YES,girl
597,Give peace a chance,John Lennon,Plastic Ono Band,YES,givepeace
599,Glass onion,The Beatles,The Beatles,YES,glassonion
601,Golden Slumbers,The Beatles,The Beatles,YES,golden
605,Goodbye blue sky,Pink Floyd,Pink Floyd,YES,goodbyeb
608,Goodbye cruel world,Pink Floyd,Pink Floyd,YES,goodbyecr
610,Good day sunshine,The Beatles,The Beatles,YES,goodday
612,Good night,The Beatles,The Beatles,YES,goodnight
615,Ive Got A Feeling,The Beatles,The Beatles,YES,gotafeeling
617,Lets go to bed,The Cure,The Cure,YES,gotobed
620,Got to get you into my life,The Beatles,The Beatles,YES,gottoget
623,The great gig in the sky,Pink Floyd,Pink Floyd,YES,greatgig
629,The great pretender,The Platters,The Platters,YES,greatpret
631,The hanging garden,The Cure,The Cure,YES,hanging
638,The happiest days of out lives,Pink Floyd,Pink Floyd,YES,happiestd
641,Happiness is a warm gun,The Beatles,The Beatles,YES,happiness
646,A hard days night,The Beatles,The Beatles,YES,harddays
655,Have a cigar,Pink Floyd,Pink Floyd,YES,havecigar
658,To have and to hold,Depeche Mode,Depeche Mode,YES,havehold
661,Heart beat pig meat,Pink Floyd,Pink Floyd,YES,heartbeat
663,Hello goodbye,The Beatles,The Beatles,YES,hellogoodb
668,Help,The Beatles,The Beatles,YES,help
676,Help me make it through the night,Kris Kristofferson,Kris Kristofferson,YES,helpmema
680,Helter skelter,The Beatles,The Beatles,YES,heltskelt
686,Here comes the sun,The Beatles,The Beatles,YES,herecomes
706,Here there and everywhere,The Beatles,The Beatles,YES,herethere
708,Hey Jude,The Beatles,The Beatles,YES,heyjude
723,Hey you,Pink Floyd,Pink Floyd,YES,heyyou
728,You have got to hide your love away,The Beatles,The Beatles,YES,hidelove
736,Higher love,Depeche Mode,Depeche Mode,YES,higherlove
738,High hopes,Frank Sinatra,Frank Sinatra,YES,highhopes
740,Home,Depeche Mode,Depeche Mode,YES,home
742,Honey pie,The Beatles,The Beatles,YES,honeypie
745,Hot hot hot,The Cure,The Cure,YES,hothot
748,I am what I am,Gloria Gaynor,George Hearn,YES,iamwhati
751,I call your name,The Beatles,The Beatles,YES,icallyou
754,I feel you,Depeche Mode,Depeche Mode,YES,ifeelyou
758,If I Fell,The Beatles,The Beatles,YES,ififell
760,If I need someone,The Beatles,The Beatles,YES,ifineedso
762,If only tonight we could sleep,The Cure,The Cure,YES,ifonlytonig
764,I know what I like,Genesis,Genesis,YES,iknowwha
768,Imagine,John Lennon,John Lennon,YES,imagine
773,Im a loser,The Beatles,The Beatles,YES,imaloser
776,Im cold,The Cure,The Cure,YES,imcold
778,Im down,The Beatles,The Beatles,YES,imdown
780,I me mine,The Beatles,The Beatles,YES,imemine
782,Im looking through you,The Beatles,The Beatles,YES,imlooking
784,In between days,The Cure,The Cure,YES,inbetween
789,In my life,The Beatles,The Beatles,YES,inmylife
802,Insensatez,Astrud Gilberto,Joao Gilberto,YES,insensatez
807,Interstellar overdrive,Pink Floyd,Pink Floyd,YES,interstellar
811,In the flesh,Pink Floyd,Pink Floyd,YES,intheflesh
814,In the mood,Glenn Miller,Joe Garland and Andy Razaf,YES,inthemood
817,In your room,Depeche Mode,Depeche Mode,YES,inyourroom
820,Garota de Ipanema,Jobim and Moraes,Perry Ribeiro,YES,ipanema
835,I saw her standing there,The Beatles,The Beatles,YES,isawher
838,She is a Carioca,Sergio Mendes trio,Sergio Mendes trio,YES,iscarioca
841,Is there anybody out there,Pink Floyd,Pink Floyd,YES,isthereany
843,Its more fun to compute,Kraftwerk,Kraftwerk,YES,itsmorefun
845,Its no good,Depeche Mode,Depeche Mode,YES,itsnogood
848,Its not you,The Cure,The Cure,YES,itsnotyou
859,I want to hold your hand,The Beatles,The Beatles,YES,iwannahold
860,I want you,The Beatles,The Beatles,YES,iwantyou
862,I will,The Beatles,The Beatles,YES,iwill
872,Jugband blues,Pink Floyd,Pink Floyd,YES,jugband
874,Jumping someone elses train,The Cure,The Cure,YES,jumping
879,Just cant get enough,Depeche Mode,Depeche Mode,YES,justcanget
883,Just like heaven,The Cure,The Cure,YES,justlikeh
887,Instant karma,John Lennon,John Lennon,YES,karma
889,I get a kick out of you,Cole Porter,Gaxton and Merman,YES,kickout
897,Killing an arab,The Cure,The Cure,YES,killingarab
902,Knocking on heavens door,Bob Dylan,Bob Dylan,YES,knockinonh
906,Do you want to know a secret,The Beatles,The Beatles,YES,knowsecret
908,Kyoto song,The Cure,The Cure,YES,kyoto
910,Lady Bird,Tad Dameron,Tad Dameron,YES,ladybird
912,Lady Marmalade,Labelle,The Eleventh Hour,YES,ladymarm
930,Lament,The Cure,The Cure,YES,lament
935,Learning to fly,Pink Floyd,Pink Floyd,YES,learning2fly
937,Lestaca,Lluis Llach,Lluis Llach,YES,lestaca
941,Let it be,The Beatles,The Beatles,YES,letitbe
956,Lie to me,Depeche Mode,Depeche Mode,YES,lietome
959,Light my fire,The Doors,The Doors,YES,lightmyfi
962,Little 15,Depeche Mode,Depeche Mode,YES,little15
965,With a little help from my friends,The Beatles,The Beatles,YES,littlehelp
976,Live and let die,Paul McCartney and Wings,Paul McCartney and Wings,YES,liveandlet
978,Livin on a prayer,Bon Jovi,Bon Jovi,YES,livinprayer
983,Los endos,Genesis,Genesis,YES,losendos
986,The love cats,The Cure,The Cure,YES,lovecats
990,Lovely Rita,The Beatles,The Beatles,YES,lovelyrita
995,Love me tender,Elvis Presley,Poulton and Fosdik,YES,lovemetend
999,Love song,The Cure,The Cure,YES,lovesong
1016,Lucy in the sky with diamonds,The Beatles,The Beatles,YES,lsd
1022,Lucifer Sam,Pink Floyd,Pink Floyd,YES,lucifersam
1025,Lullaby,The Cure,The Cure,YES,lullaby
1030,Lady Madonna,The Beatles,The Beatles,YES,madonna
1036,Magical mystery tour,The Beatles,The Beatles,YES,magical
1044,The man machine,Kraftwerk,Kraftwerk,YES,manmachin
1046,Many rivers to cross,Jimmy Cliff,Jimmy Cliff,YES,manyrive
1054,Master and servant,Depeche Mode,Depeche Mode,YES,masterand
1059,Maxwells silver hammer,The Beatles,The Beatles,YES,maxwells
1061,Maybe someday,The Cure,The Cure,YES,maybesom
1063,Meathook,The Cure,The Cure,YES,meathook
1066,Mediterraneo,Joan Manuel Serrat,Joan Manuel Serrat,YES,mediterran
1072,Memory,Andrew Lloyd Webber,Elaine Paige,YES,memory
1077,Message in a bottle,The Police,The Police,YES,messbott
1081,Metall auf metall,Kraftwerk,Kraftwerk,YES,metalonme
1084,Michelangelo,Astor Piazzolla,Astor Piazzolla,YES,michelang
1087,Michelle,The Beatles,The Beatles,YES,michelle
1093,Money (thats what I want),Barret Strong,The Beatles,YES,money
1094,Money,Pink Floyd,Pink Floyd,YES,money_pf
1104,Monument,Depeche Mode,Depeche Mode,YES,monument
1112,Let there be more light,Pink Floyd,Pink Floyd,YES,morelight
1115,Mother,Pink Floyd,Pink Floyd,YES,mother
1118,Mother natures son,The Beatles,The Beatles,YES,mothernat
1122,Please Mr Postman,The Marvelets,The Marvelettes,YES,mrpostman
1123,Musique non stop,Kraftwerk,Kraftwerk,YES,musicnon
1127,Oh my love,John Lennon,John Lennon,YES,mylove
1130,My sweet lord,George Harrisson,George Harrisson,YES,mysweetlord
1139,My way,Frank Sinatra,Claude Francois,YES,myway
1142,You make me feel like a natural woman,Aretha Franklin,Aretha Franklin,YES,naturalwom
1144,You never give me your money,The Beatles,The Beatles,YES,nevergive
1147,Never let me down again,Depeche Mode,Depeche Mode,YES,neverletme
1159,Never can say goodbye,The Jackson 5,The Jackson 5,YES,neversayg
1168,New York New York,Liza Minnelli,Liza Minelli,YES,newyork
1175,Night and day,Fred Astaire,Fred Astaire and Claire Luce,YES,nightday
1180,The nile song,Pink Floyd,Pink Floyd,YES,nilesong
1182,Nobody home,Pink Floyd,Pink Floyd,YES,nobodyho
1185,No me importa nada,Luz Casal,Luz Casal,YES,nomeimpor
1188,Norwegian wood,The Beatles,The Beatles,YES,norwegian
1194,Nothing else matters,Metallica,Metallica,YES,nothing
1200,Nothing compares to you,Sinnead O Connor,The Family,YES,nothingcom
1202,But not tonight,Depeche Mode,Depeche Mode,YES,nottonigh
1204,Nowhere man,The Beatles,The Beatles,YES,nowhere
1209,No woman no cry,Bob Marley,Bob Marley,YES,nowomanno
1212,Nummern,Kraftwerk,Kraftwerk,YES,numbers
1215,O amor em paz,Joao Gilberto,Joao Gilberto,YES,oamoremp
1224,Ob la di ob la da,The Beatles,The Beatles,YES,obladi
1232,Oh darling,The Beatles,The Beatles,YES,ohdarling
1235,Ohm sweet ohm,Kraftwerk,Kraftwerk,YES,ohmsweet
1237,One,U2,U2,YES,one
1243,One of my turns,Pink Floyd,Pink Floyd,YES,oneofmytu
1245,One of these days,Pink Floyd,Pink Floyd,YES,oneofthese
1247,Im only sleeping,The Beatles,The Beatles,YES,onlysleeping
1252,Only you,The Platters,The Platters,YES,onlyyou
1254,On the run,Pink Floyd,Pink Floyd,YES,ontherun
1260,O Pato,Joao Gilberto,Joao Gilberto,YES,opato
1264,Your own special way,Genesis,Genesis,YES,ownspecia
1267,Paperback writer,The Beatles,The Beatles,YES,paperback
1272,Para la libertad,Joan Manuel Serrat,Joan Manuel Serrat,YES,paralalib
1274,Penny lane,The Beatles,The Beatles,YES,pennylane
1280,People are people,Depeche Mode,Depeche Mode,YES,peopleare
1284,Personal Jesus,Depeche Mode,Depeche Mode,YES,personal
1290,Photographic,Depeche Mode,Depeche Mode,YES,photograp
1294,Pictures of you,The Cure,The Cure,YES,picturesof
1301,Piggy in the mirror,The Cure,The Cure,YES,piggyinthe
1303,Pigs on the wing,Pink Floyd,Pink Floyd,YES,pigswing
1307,Plainsong,The Cure,The Cure,YES,plainsong
1313,Plastic passion,The Cure,The Cure,YES,plasticpas
1317,Play for today,The Cure,The Cure,YES,playtoday
1320,Pleasure Little Treasure,Depeche Mode,Depeche Mode,YES,pleasureli
1322,Point me at the sky,Pink Floyd,Pink Floyd,YES,pointme
1324,Policy of truth,Depeche Mode,Depeche Mode,YES,policytruth
1333,Polythene Pam,The Beatles,The Beatles,YES,polytheme
1335,Pornography,The Cure,The Cure,YES,pornography
1339,Oh pretty woman,Roy Orbison,Roy Orbison,YES,prettywo
1342,Primary,The Cure,The Cure,YES,primary
1344,Dear Prudence,The Beatles,The Beatles,YES,prudence
1348,Push,The Cure,The Cure,YES,push
1351,Whats new pussycat,Tom Jones,Tom Jones,YES,pussycat
1352,Radioactivity,Kraftwerk,Kraftwerk,YES,radioactivi
1358,Rain,The Beatles,The Beatles,YES,rain
1367,Retrato em branco e preto,Antonio Carlos Jobim,Chico Buarque,YES,retratoem
1370,Revolution 1,The Beatles,The Beatles,YES,revolution
1376,Baby youre a rich man,The Beatles,The Beatles,YES,richman
1379,The long and winding road,The Beatles,The Beatles,YES,road
1394,Rocky Raccoon,The Beatles,The Beatles,YES,rocky
1396,Roxanne,The Police,The Police,YES,roxanne
1404,Run for your life,The Beatles,The Beatles,YES,run4yourlife
1406,Run like hell,Pink Floyd,Pink Floyd,YES,runlikehe
1409,Sacred,Depeche Mode,Depeche Mode,YES,sacred
1411,Samba de uma nota so,Antonio Carlos Jobim,Joao Gilberto,YES,samba1nota
1415,Samba da Bencao,Vinicius de Moraes and Toquinho,Vinicius de Moraes,YES,sambabenc
1422,Samba da minha terra,Tamba trio,Tamba trio,YES,sambaterra
1427,Satisfaction,The Rolling Stones,The Rolling Stones,YES,satisfaction
1435,A saucerful of secrets,Pink Floyd,Pink Floyd,YES,saucerful
1438,Scarborough fair,Simon and Garfunkel,Unknown,YES,scarborou
1441,Seek and destroy,Metallica,Metallica,YES,seekdestr
1447,I have just seen a face,The Beatles,The Beatles,YES,seenaface
1454,Set the controls for the heart of the sun,Pink Floyd,Pink Floyd,YES,setcontrols
1458,Sexy Sadie,The Beatles,The Beatles,YES,sexysadie
1461,Sgt Peppers lonely hearts club band,The Beatles,The Beatles,YES,sgtpeppers
1464,Shake the disease,Depeche Mode,Depeche Mode,YES,shakedisea
1469,Shake dog shake,The Cure,The Cure,YES,shakedog
1472,She came in through the bathroom window,The Beatles,The Beatles,YES,shecame
1475,Sheep,Pink Floyd,Pink Floyd,YES,sheep
1478,She loves you,The Beatles,The Beatles,YES,shelovesyou
1488,She said she said,The Beatles,The Beatles,YES,shesaidshe
1490,Shes leaving home,The Beatles,The Beatles,YES,shesleaving
1495,Shine on you crazy diamond Ð Part 1,Pink Floyd,Pink Floyd,YES,shineonyou
1501,The show must go on,Pink Floyd,Pink Floyd,YES,showmust
1503,Showroom dummies,Kraftwerk,Kraftwerk,YES,showroom
1508,Siamese twins,The Cure,The Cure,YES,siamese
1510,Smoke on the water,Deep Purple,Deep Purple,YES,smokewtr
1517,Somebody,Depeche Mode,Depeche Mode,YES,somebody
1519,Something,The Beatles,The Beatles,YES,something
1531,Sometimes,Depeche Mode,Depeche Mode,YES,sometimes
1536,So nice,Sergio Mendes trio,Eumir Deodato,YES,sonice
1538,Spacelab,Kraftwerk,Kraftwerk,YES,spacelab
1543,Speak to me breathe,Pink Floyd,Pink Floyd,YES,breathe
1546,Stairway to heaven,Led Zeppelin,Led Zeppelin,YES,stairway2h
1564,Stand by me,Ben E King,Ben E King,YES,standbyme
1566,Stop,Pink Floyd,Pink Floyd,YES,stop
1568,Stormy weather,Ethel Waters,Ethel Waters,YES,stormywea
1572,A strange day,The Cure,The Cure,YES,strangeday
1574,Strange love,Depeche Mode,Depeche Mode,YES,strangelove
1576,Strangers in the night,Frank Sinatra,Bert Kaempfert,YES,strangers
1579,Strawberry fields forever,The Beatles,The Beatles,YES,strawberry
1586,Stripped,Depeche Mode,Depeche Mode,YES,stripped
1592,Yellow submarine,The Beatles,The Beatles,YES,submarine
1600,Sun king,The Beatles,The Beatles,YES,sunking
1602,The sun and the rainfall,Depeche Mode,Depeche Mode,YES,sunrainfall
1605,You are the sunshine of my life,Stevie Wonder,Stevie Wonder,YES,sunshineli
1607,Suspicious minds,Elvis Presley,Mark James,YES,suspicious
1611,Taschenrechner,Kraftwerk,Kraftwerk,YES,taschenre
1614,Taxman,The Beatles,The Beatles,YES,taxman
1616,Smells like teen spirit,Nirvana,Nirvana,YES,teenspirit
1620,The End,The Beatles,The Beatles,YES,theend
1625,The fool on the hill,The Beatles,The Beatles,YES,thefool
1635,There is a place,The Beatles,The Beatles,YES,thereplace
1637,The trial,Pink Floyd,Pink Floyd,YES,thetrial
1639,The walk,The Cure,The Cure,YES,thewalk
1643,The world,The Beatles,The Beatles,YES,theworld
1645,The things you said,Depeche Mode,Depeche Mode,YES,thingssaid
1647,Things we said today,The Beatles,The Beatles,YES,thingswe
1650,The thin ice,Pink Floyd,Pink Floyd,YES,thinice
1652,Ticket to ride,The Beatles,The Beatles,YES,ticket2ride
1655,Tico tico,Perez Prado,Orquestra Colbaz,YES,ticotico
1669,Time,Pink Floyd,Pink Floyd,YES,time
1685,Tomorrow never knows,The Beatles,The Beatles,YES,tomorrow
1691,Tour de France,Kraftwerk,Kraftwerk,YES,tourdefra
1698,Trans Europa express,Kraftwerk,Kraftwerk,YES,transeuro
1703,Triste,Antonio Carlos Jobim and Ellis Regina,Antonio Carlos Jobim,YES,triste
1710,Twist and shout,The Beatles,The Top Notes,YES,twistand
1715,Two of us,The Beatles,The Beatles,YES,two
1719,You have got a friend,Carole King,Carole King,YES,ugotafrie
1721,I have got you under my skin,Cole Porter,Jimmy Dorsey and Frances Langford,YES,undermysk
1733,Us and them,Pink Floyd,Pink Floyd,YES,usandthem
1741,Valley of the kings,Genesis,Genesis,YES,valleyking
1743,Vera,Pink Floyd,Pink Floyd,YES,vera
1745,Visions of angels,Genesis,Genesis,YES,visionsang
1747,Vivir asi es morir de amor,Camilo Sesto,Camilo Sesto,YES,vivirasies
1752,Dance on a volcano,Genesis,Genesis,YES,volcano
1754,Waiting for the worms,Pink Floyd,Pink Floyd,YES,waiting4wo
1756,Waiting for the night,Depeche Mode,Depeche Mode,YES,waitingnig
1758,Waiting room only,Genesis,Genesis,YES,waitingroom
1770,I am the walrus,The Beatles,The Beatles,YES,walrus
1777,Watching the weels,John Lennon,John Lennon,YES,watchingwe
1779,All along the watchtower,Bob Dylan,Bob Dylan,YES,watchtower
1786,Wave,Antonio Carlos Jobim,Antonio Carlos Jobim,YES,wave
1794,We can work it out,The Beatles,The Beatles,YES,wecanwork
1804,Welcome to the machine,Pink Floyd,Pink Floyd,YES,welcome2
1806,What the world needs now,Burt Bacharach,Jackie DeShannon,YES,whatthewo
1808,When I am sixty four,The Beatles,The Beatles,YES,whenim64
1811,While my guitar gently weeps,The Beatles,The Beatles,YES,whileguitar
1819,Why cant I be you,The Cure,The Cure,YES,whycanti
1821,Walk on the wild side,Lou Reed,Lou Reed,YES,wildsidew
1823,I will survive,Gloria Gaynor,Gloria Gaynor,YES,willsurv
1828,Days of wine and roses,Henry Mancini,Henry Mancini,YES,wineroses
1832,Wish you were here,Pink Floyd,Pink Floyd,YES,wishyouw
1835,What a wonderful world,Louis Armstrong,Louis Armstrong,YES,wonderfulwo
1839,It wont be long,The Beatles,The Beatles,YES,wontbelong
1841,World in my eyes,Depeche Mode,Depeche Mode,YES,worldinmy
1845,Yer blues,The Beatles,The Beatles,YES,yerblues
1847,Yes it is,The Beatles,The Beatles,YES,yesitis
1849,Yesterday,The Beatles,The Beatles,YES,yesterday
1865,You cant do that,The Beatles,The Beatles,YES,youcant
1868,Young lust,Pink Floyd,Pink Floyd,YES,younglust
1872,You wont see me,The Beatles,The Beatles,YES,youwontse
2015,White Christmas,Irving Berlin,Bing Crosby,YES,whitechri
2024,You really got me,The Kinks,The Kinks,YES,reallygotme
2026,Born to be wild,Steppenwolf,Steppenwolf,YES,bort2bwi
2031,My Sharona,The Knack,The Knack,YES,mysharona
2045,Over the rainbow,Judy Garland,Judy Garland,YES,overrainbow
2056,Sweet home Alabama,Lynyrd Skynyrd,Lynyrd Skynyrd,YES,sweethome
2063,We will rock you,Queen,Queen,YES,wewillrock
2068,Abracadabra,Steve Miller Band,Steve Miller Band,YES,abracadabra
2070,Addicted to love,Robert Palmer,Robert Palmer,YES,addiclove
2072,All tomorrows parties,The Velvet Underground,The Velvet Underground,YES,alltomorrows
2074,America,Simon and Garfunkel,Simon and Garfunkel,YES,america
2076,A whiter shade of pale,Procol Harum,Procol Harum,YES,shadepale
2080,Between the bars,Elliot Smith,Elliot Smith,YES,betwebar
2082,Blue collar man,Styx,Styx,YES,blcollarman
2084,Caroline No,The Beach Boys,The Beach Boys,YES,carolineno
2086,Cecilia,Simon and Garfunkel,Simon and Garfunkel,YES,cecilia
2088,Claudette,The Everly Brothers,The Everly Brothers,YES,claudette
2090,Cocaine,Eric Clapton,J J Cale,YES,cocaine
2093,Dont let it bring you down,Neil Young,Neil Young,YES,dontletit
2095,Downtown lights,Blue Nile,Blue Nile,YES,downtown
2098,Faith,George Michael,George Michael,YES,faith
2100,God only knows,The Beach Boys,The Beach Boys,YES,godonlykn
2102,Gold dust woman,Fletwood Mac,Fletwood Mac,YES,golddustw
2104,Grand illusion,Styx,Styx,YES,grandillu
2107,Heart of gold,Neil Young,Neil Young,YES,heartgold
2111,I cant get next to you,The Temptations,The Temptations,YES,icantgetnex
2113,I dont like mondays,The Boomtown Rats,The Boomtown Rats,YES,inomondays
2115,I dont want to miss a thing,Aerosmith,Aerosmith,YES,inomissath
2119,I am losing you,John Lennon,John Lennon,YES,imlosingu
2121,I am not in love,10cc,10cc,YES,imnotinlov
2123,It is tricky,Run DMC,Run DMC,YES,itstricky
2125,Lady,Styx,Styx,YES,lady
2127,Lodi,Creedence Clearwater Revival,Creedence Clearwater Revival,YES,lodi
2131,Maggies farm,Bob Dylan,Bob Dylan,YES,maggiesfa
2133,More than words,Extreme,Extreme,YES,morethwor
2135,My generation,The Who,The Who,YES,mygenerat
2137,My heart will go on,Celine Dion,Celine Dion,YES,titanic
2139,New age,Velvet Underground,Velvet Underground,YES,newage
2144,Ooby dooby,Roy Orbison and The Teen Kings,Roy Orbison and The Teen Kings,YES,oobydooby
2146,Proud Mary,Creedence Clearwater Revival,Creedence Clearwater Revival,YES,proudmary
2148,Purple rain,Prince and The Revolution,Prince,YES,purplerain
2150,Rattlesnakes,Lloyd Cole and The Commotions,Lloyd Cole and The Commotions,YES,rattlesnakes
2152,Real men,Joe Jackson,Joe Jackson,YES,realmen
2154,Red red wine,Neil Diamond,Neil Diamond,YES,redredwine
2158,September gurls,Big Star,Big Star,YES,septgurls
2160,Something so right,Paul Simon,Paul Simon,YES,smthsorigt
2162,Stone cold crazy,Queen,Queen,YES,stonecold
