Song ID,Title,Artist,Original artist,Canonical,Class label
60,Agua de beber,Antonio Carlos Jobim,Vinicius de Moraes,YES,aguabeber
61,Agua de beber,Jobim Vinicius and Toquinho,Vinicius de Moraes,,aguabeber
62,A letter to Elise,The Cure,The Cure,YES,aletterto
63,A letter to Elise,Kidsgofree,The Cure,,aletterto
64,A letter to Elise,Blink 182,The Cure,,aletterto
65,All by myself,Eric Carmen,Eric Carmen,YES,allbymys
66,All by myself,Jamie O Neal,Eric Carmen,,allbymys
67,All by myself,Tom Jones,Eric Carmen,,allbymys
68,All cats are grey,The Cure,The Cure,YES,allcatsare
69,All cats are grey,Rollercoaster,The Cure,,allcatsare
70,All my loving,The Beatles,The Beatles,YES,allmyloving
71,All my loving,Ricky Gianco,The Beatles,,allmyloving
72,All my loving,The 52 key organ,The Beatles,,allmyloving
73,All my loving,Los Manolos,The Beatles,,allmyloving
74,All you need is love,The Beatles,The Beatles,YES,allyouneed
75,Cerchi solo amore,I Soliti Ignoti,The Beatles,,allyouneed
76,All you need is love,Neil Young,The Beatles,,allyouneed
77,All you need is love,London Symphony Orchestra,The Beatles,,allyouneed
78,All you need is love,Oasis,The Beatles,,allyouneed
79,Amazonas,Joao Donato,Joao Donato,YES,amazonas
80,Amazonas,Lisa Ono,Joao Donato,,amazonas
81,Amelitango,Astor Piazzolla,Astor Piazzolla,YES,amelitang
82,Amelitango,Astor Piazzolla,Astor Piazzolla,,amelitang
83,And I love her,The Beatles,The Beatles,YES,andilove
84,And I love her,The 52 key organ,The Beatles,,andilove
85,And I love him,Diana Krall,The Beatles,,andilove
86,And I love her,Lorenzo Santamaria,The Beatles,,andilove
87,And I love him,Massiel,The Beatles,,andilove
88,And I love her,Baroque Chamber Orchestra,The Beatles,,andilove
89,And I love him,John Denver,The Beatles,,andilove
91,And I love her,Byron Lee and The Dragonaires,The Beatles,,andilove
92,And I love her,Smokey Robinson and The Miracles,The Beatles,,andilove
93,And I love her,John Pizzarelli,The Beatles,,andilove
94,And your bird can sing,The Beatles,The Beatles,YES,andyourbird
95,And your bird can sing,The Jam,The Beatles,,andyourbird
96,Cuando los angeles lloran,Mana,Mana,YES,angelesll
97,Cuando los angeles lloran,Miguel Rios,Mana,,angelesll
98,Angie,The Rolling Stones,The Rolling Stones,YES,angie
100,Angie,Tori Amos,The Rolling Stones,,angie
101,Angie,Melua and Kubb,The Rolling Stones,,angie
102,Angie,Stereophonics,The Rolling Stones,,angie
103,Angie,Sao Vicente,The Rolling Stones,,angie
104,Angie,The Rolling Stones,The Rolling Stones,,angie
105,A night like this,The Cure,The Cure,YES,anightlike
106,A night like this,Peter Hayes,The Cure,,anightlike
107,A night like this,Test Infection,The Cure,,anightlike
108,A night like this,Hedtrip,The Cure,,anightlike
109,A night like this,Piano tribute to The Cure,The Cure,,anightlike
110,Antenne,Kraftwerk,Kraftwerk,YES,antenne
111,Antenna,Psyche,Kraftwerk,,antenne
112,Any colour you like,Pink Floyd,Pink Floyd,YES,anycolour
113,Any colour you like,Pink Floyd,Pink Floyd,,anycolour
114,Any colour you like,String Quartet,Pink Floyd,,anycolour
115,Any colour you like,VVAA,Pink Floyd,,anycolour
116,Any dream will do,The definitive hits collection,David Daltrey,,anydreamw
117,Any dream will do,The best of musicals,David Daltrey,,anydreamw
118,Anything goes,Cole Porter,Cole Porter,YES,anythingo
119,Anything goes,Ella Fitzgerald,Cole Porter,,anythingo
121,Anything goes,Ella Fitzgerald and Cole Porter,Cole Porter,,anythingo
122,Astronomy domine,Pink Floyd,Pink Floyd,YES,astronomy
124,Astronomy domine,Pink Floyd,Pink Floyd,,astronomy
125,Take the A train,James Aebersold,Duke Ellington,,atrain
126,Take the A train,Duke Ellington,Duke Ellington,YES,atrain
127,Take the A train,Richard Davis,Duke Ellington,,atrain
128,Take the A train,Duke Ellington,Duke Ellington,,atrain
129,Take the A train,Woody Allen movie music,Duke Ellington,,atrain
130,Take the A train,Kei Kobayashi,Duke Ellington,,atrain
131,Take the A train,Duke Ellington,Duke Ellington,,atrain
132,Autobahn,Kraftwerk,Kraftwerk,YES,autobahn
133,Autobahn,The Balanescu Quartet,Kraftwerk,,autobahn
134,Autobahn,Tragic comedy,Kraftwerk,,autobahn
135,Autobahn,Buffalo Daughter,Kraftwerk,,autobahn
136,Autobahn,Kraftwerk,Kraftwerk,,autobahn
137,Autumn in New York,Chet Baker,J Harold Murray,,autumnny
138,Autumn in New York,Kei Kobayahsi,J Harold Murray,,autumnny
139,Autumn in New York,Unknown,J Harold Murray,,autumnny
140,Back in the USSR,The Beatles,The Beatles,YES,backussr
141,Back in the USSR,La orquesta Modragon,The Beatles,,backussr
142,Torno in Russia,Chriss and The Stroke,The Beatles,,backussr
143,Bad to me,The Beatles,The Beatles,YES,badtome
144,Bad to me,Billy Kramer and The Dakotas,The Beatles,,badtome
145,The battle of epping forest,Genesis,Genesis,YES,battleepp
146,The battle of epping forest,Genesis,Genesis,,battleepp
147,The battle of epping forest,Genesis,Genesis,,battleepp
149,The battle of epping forest,Genesis,Genesis,,battleepp
150,The battle of epping forest,Genesis,Genesis,,battleepp
154,The battle of epping forest,Genesis,Genesis,,battleepp
155,Because,The Beatles,The Beatles,YES,because
156,Because,Satelite Kingston,The Beatles,,because
157,Because,Mystiquintet,The Beatles,,because
158,Because,Lynsey De Paul,The Beatles,,because
159,Begin the Beguine,Cole Porter,Walters and Knight,YES,beginbeg
160,Begin the Beguine,Ella Fitzgerald,Walters and Knight,,beginbeg
161,Begin the Beguine,The best of musicals,Walters and Knight,,beginbeg
162,Begin the Beguine,Frank Sinatra,Walters and Knight,,beginbeg
163,Begin the Beguine,Bobby Morganstein,Walters and Knight,,beginbeg
164,Begin the Beguine,Glenn Miller,Walters and Knight,,beginbeg
165,Begin the Beguine,John Williams and The Boston Pops,Walters and Knight,,beginbeg
166,In the beginning,Genesis,Genesis,YES,beginning
167,In the beginning,Mother Gong,Genesis,,beginning
168,Berimbau,Vinicius de Moraes,Vinicius de Moraes,YES,berimbau
169,Berimbau,Astrud Gilberto,Vinicius de Moraes,,berimbau
170,Berimbau,Tamba trio,Vinicius de Moraes,,berimbau
171,Berimbau,Sergio Mendes trio,Vinicius de Moraes,,berimbau
172,Billy Jean,Michael Jackson,Michael Jackson,YES,billyjean
173,The Billy Jean ton song,Sisqo,Michael Jackson,,billyjean
174,Billy Jean,Social Distorsion,Michael Jackson,,billyjean
175,Billy Jean,Eminem,Michael Jackson,,billyjean
176,Billy Jean,Disco Galaxy,Michael Jackson,,billyjean
178,Bim bom,Mann Gilberto and Jobim,Joao Gilberto,,bimbom
180,Bim bom,Stan Getz,Joao Gilberto,,bimbom
181,Bim bom,Astrud Gilberto,Joao Gilberto,,bimbom
182,Bim bom,Sergio Mendes,Joao Gilberto,,bimbom
183,Birth of the blues,Frank Sinatra,Harry Richman,YES,birthblues
184,Birth of the blues,Johnny Hartman,Harry Richman,,birthblues
185,Birth of the blues,Johnny Hartman,Harry Richman,,birthblues
186,Black Bird,The Beatles,The Beatles,YES,blackbird
187,Blackbird,Grateful dead,The Beatles,,blackbird
188,Blackbird,Bossa Rio,The Beatles,,blackbird
189,Blackbird,Sarah McLachlan,The Beatles,,blackbird
190,Blackbird,Eros Ramazotti,The Beatles,,blackbird
191,Blackbird,Rosalyn Sweat and The Paragons,The Beatles,,blackbird
192,Blackbird,Los angeles,The Beatles,,blackbird
193,Blackbird,Crosby Stills Nash and Young,The Beatles,,blackbird
194,Blackbird,George Martin and Bonnie Pink,The Beatles,,blackbird
195,Black celebration,Depeche Mode,Depeche Mode,YES,blackceleb
196,Black celebration,Monster magnet,Depeche Mode,,blackceleb
197,Blasphemous rumors,Depeche Mode,Depeche Mode,YES,blasphemo
198,Blasphemous rumors,Sexy Sadie,Depeche Mode,,blasphemo
199,Blasphemous rumors,Seega,Depeche Mode,,blasphemo
200,Blasphemous rumors,Sylvain Chauveau and Ensemble Nocturne,Depeche Mode,,blasphemo
201,Blue Moon,Billie Holiday,Shirley Ross,,bluemoon
202,Blue Moon,Kenny Barron Trio,Shirley Ross,,bluemoon
203,Blue Moon,Adrivalan Orchestra,Shirley Ross,,bluemoon
204,Bohemian Rapsody,Queen,Queen,YES,bohemianr
205,Bohemian Rapsody,Lauryn Hill and Fugees,Queen,,bohemianr
206,Bohemian Rapsody,Queen Elton John and Axel Rose,Queen,,bohemianr
207,Bohemian Rapsody,Lauryn Hill and Fugees,Queen,,bohemianr
208,Rap-soda y bohemia,Molotov,Queen,,bohemianr
212,Boys dont cry,The Cure,The Cure,YES,boysdont
213,Boys dont cry,Sitar M,The Cure,,boysdont
214,Boys dont cry,Lostprophets,The Cure,,boysdont
215,Boys dont cry,Ninos mutantes,The Cure,,boysdont
216,Boys dont cry,CPM 22,The Cure,,boysdont
217,Boys dont cry,Prozac plus,The Cure,,boysdont
218,Boys dont cry,Another tale,The Cure,,boysdont
219,Boys dont cry,The Cure,The Cure,,boysdont
220,Boys dont cry,Tuscadero,The Cure,,boysdont
221,Boys dont cry,Sheer Terror,The Cure,,boysdont
222,Boys dont cry,David Ari Leon,The Cure,,boysdont
223,Boys dont cry,Reel big fish,The Cure,,boysdont
224,Boys dont cry,String Quartet,The Cure,,boysdont
225,Boys dont cry,Idlewild,The Cure,,boysdont
226,Boys dont cry,Happy pills,The Cure,,boysdont
227,Boys dont cry,Oleander,The Cure,,boysdont
228,Boys dont cry,Terminal choice,The Cure,,boysdont
229,Punx dont cry,Obnoxious,The Cure,,boysdont
230,Brain damage,Pink Floyd,Pink Floyd,YES,braindama
231,Brain damage eclipse,Piano tribute to Pink Floyd,Pink Floyd,,braindama
232,Brain damage eclipse,String Quartet,Pink Floyd,,braindama
233,Brain damage,Pink Floyd,Pink Floyd,,braindama
234,Brain damage,London Philharmonic Orchestra,Pink Floyd,,braindama
237,Breathe,London Philharmonic Orchestra,Pink Floyd,,breathe
238,Breathe,Pink Floyd,Pink Floyd,,breathe
239,Breathe,Pink Floyd,Pink Floyd,,breathe
240,Bring the boys back home,Pink Floyd,Pink Floyd,YES,bringboys
241,Bring the boys back home,Sherwood and Schellen,Pink Floyd,,bringboys
244,Buenos Aires hora cero,Astor Piazzolla,Astor Piazzolla,YES,buenosair
245,Buenos Aires hora cero,Los tangueros,Astor Piazzolla,,buenosair
246,The continuing story of Bungalow Bill,The Beatles,The Beatles,YES,bungalow
247,Bungalow bill,Phish,The Beatles,,bungalow
248,Adios nonino,Astor Piazzolla,Astor Piazzolla,,adiosnoni
251,Candela,Buena Vista Social Club,Celia Cruz,,candela
252,Candela,Ibrahim Ferrer,Celia Cruz,,candela
253,Cant buy me love,The Beatles,The Beatles,YES,cantbuy
254,Cant buy me love,The Kings singers,The Beatles,,cantbuy
255,Cant buy me love,Mocedades,The Beatles,,cantbuy
256,No puedes comprar mi amor,Los Idolos,The Beatles,,cantbuy
257,Cant buy me love,John Pizzarelli,The Beatles,,cantbuy
258,Can utility and the coastliners,Genesis,Genesis,YES,canutili
259,Can utility and the coastliners,Band X II,Genesis,,canutili
260,Careful with that axe Eugene,Pink Floyd,Pink Floyd,YES,carefulaxe
261,Careful with that axe Eugene,Nik Turner,Pink Floyd,,carefulaxe
262,The carpet crawlers,Genesis,Genesis,YES,carpetcr
263,The carpet crawlers,John Ford,Genesis,,carpetcr
264,Carry that weight,The Beatles,The Beatles,YES,carryweight
266,Carry that weight,Baroque Chamber Orchestra,The Beatles,,carryweight
267,Carry that weight,Dobby Dobson,The Beatles,,carryweight
268,Catch,The Cure,The Cure,YES,catch
269,Catch,Eggs,The Cure,,catch
270,Charlotte sometimes,The Cure,The Cure,YES,charlotte
271,Charlotte sometimes,Madee,The Cure,,charlotte
272,Charlotte sometimes,Shamrain,The Cure,,charlotte
273,Charlotte sometimes,Psyche,The Cure,,charlotte
274,Charlotte sometimes,Trampoline,The Cure,,charlotte
275,Charlotte sometimes,Yell,The Cure,,charlotte
276,Chega de saudade,Antonio Carlos Jobim,Elizete Cardoso,YES,chegadesau
277,Chega de saudade,Jane Monheit,Elizete Cardoso,,chegadesau
278,Chega de saudade,Joao Gilberto,Elizete Cardoso,,chegadesau
279,Chega de saudade,Stan Getz,Elizete Cardoso,,chegadesau
280,Chega de saudade,Gilberto Pereira de Oliveira,Elizete Cardoso,,chegadesau
281,Chica de ayer,Nacha pop,Nacha pop,YES,chicaayer
282,Chica de ayer,Enrique Iglesias,Nacha pop,,chicaayer
283,Chica de ayer,Antonio Vega basico,Nacha pop,,chicaayer
284,Cinema Paradiso Love theme,Ennio Morricone and Dulce Pontes,Ennio Morricone,YES,cinemapar
285,Cinema Paradiso Love theme,Monica Mancini,Ennio Morricone,,cinemapar
286,Cinema Paradiso Love theme,Haden and Metheny,Ennio Morricone,,cinemapar
287,Cinema Paradiso Love theme,Henry Mancini Orchestra,Ennio Morricone,,cinemapar
288,Cinema Paradiso Love theme,Josh Groban,Ennio Morricone,,cinemapar
289,The cinema show,Genesis,Genesis,YES,cinemash
290,The cinema show,The Flower Kings,Genesis,,cinemash
291,Close to me,The Cure,The Cure,YES,close2me
292,Close to me,The Cure,The Cure,,close2me
293,Close to me,The Cure,The Cure,,close2me
294,Close to me,Dismemberment plan,The Cure,,close2me
295,Come in number 51 your time is up,Pink Floyd,Pink Floyd,YES,comein51
296,Come in number 51 your time is up,Pink Floyd,Pink Floyd,,comein51
297,Come together,The Beatles,The Beatles,YES,cometoget
298,Come together,Grateful dead,The Beatles,,cometoget
299,Come together,Soundgarden,The Beatles,,cometoget
300,Come together,Axel Rose and Bruce Springsteen,The Beatles,,cometoget
301,Come together,Desmond Dekker and The Israelites,The Beatles,,cometoget
302,Come together,Azade Abi and more,The Beatles,,cometoget
303,Come together,The Supremes,The Beatles,,cometoget
304,Come together,Pushin,The Beatles,,cometoget
305,Come together,Alika and Nueva alianza,The Beatles,,cometoget
306,Come together,Johnny Jones,The Beatles,,cometoget
307,Come together,Elton John,The Beatles,,cometoget
308,Come together,Ike and Tina Turner,The Beatles,,cometoget
309,Come together,Richard groove Holmes,The Beatles,,cometoget
310,Come together,Diana Ross,The Beatles,,cometoget
311,Comfortably numb,Pink Floyd,Pink Floyd,YES,comfortab
312,Comfortably numb,VVAA,Pink Floyd,,comfortab
313,Comfortably numb,London Philharmonic Orchestra,Pink Floyd,,comfortab
314,Comfortably numb,Squire and White,Pink Floyd,,comfortab
315,Comfortably numb,Chillout tribute to PF,Pink Floyd,,comfortab
316,Comfortably numb,Pink Floyd,Pink Floyd,,comfortab
317,Comfortably numb,Piano tribute to Pink Floyd,Pink Floyd,,comfortab
318,Computer love,Kraftwerk,Kraftwerk,,computerlo
319,Computer love,The Balanescu Quartet,Kraftwerk,,computerlo
320,Computer love,Laura effect,Kraftwerk,,computerlo
321,Computer love,Teruo Nakano,Kraftwerk,,computerlo
322,Computer liebe,Kraftwerk,Kraftwerk,YES,computerlo
323,Computer love,Kraftwerk,Kraftwerk,,computerlo
324,Corcovado,Antonio Carlos Jobim,Joao Gilberto,YES,corcovado
325,Corcovado,Jackie and Roy,Joao Gilberto,,corcovado
326,Corcovado,Stan Getz,Joao Gilberto,,corcovado
327,Corcovado,Astrud Gilberto,Joao Gilberto,,corcovado
329,Corcovado,Paquito D Rivera,Joao Gilberto,,corcovado
331,Corcovado,Stan Getz,Joao Gilberto,,corcovado
332,Corcovado,Jobim and Morais,Joao Gilberto,,corcovado
333,Corcovado,Astrud Gilberto,Joao Gilberto,,corcovado
335,Crumbling land,Pink Floyd,Pink Floyd,YES,crumbling
336,Crumbling land,Pink Floyd,Pink Floyd,,crumbling
337,Crumbling land,Pink Floyd,Pink Floyd,,crumbling
338,I have got a crush on you,Frank Sinatra,Clifton Webb and Mary Hay,,crushonyou
339,I have got a crush on you,Stacey Kent,Clifton Webb and Mary Hay,,crushonyou
340,I have got a crush on you,Frank Sinatra and Barbara Streisand,Clifton Webb and Mary Hay,,crushonyou
341,I have got a crush on you,Frank Sinatra,Clifton Webb and Mary Hay,,crushonyou
342,Dont cry for me Argentina,Andrew Lloyd Webber,Julie Covington,,cryargenti
343,Dont cry for me Argentina,The best of musicals,Julie Covington,,cryargenti
344,Dont cry for me Argentina,Olivia Newton John,Julie Covington,YES,cryargenti
345,Ill cry instead,The Beatles,The Beatles,YES,cryinstead
346,Ill cry instead,Billy Joel,The Beatles,,cryinstead
348,El cuarto de Tula,Buena Vista Social Club,Unknown,,cuartotul
349,El cuarto de Tula,Eliades Ochoa,Unknown,,cuartotul
350,Cucurrucucu Paloma,Caetano Veloso,Tom‡s MŽndez,,cucurrucu
351,Cucurrucucu Paloma,Los Dorados de la Villa,Tom‡s MŽndez,,cucurrucu
352,Dancing with the Moonlit knight,Genesis,Genesis,YES,dancingwi
353,Dancing with the Moonlit knight,Darxtar,Genesis,,dancingwi
354,So danco samba,Antonio Carlos Jobim,Getz and Gilberto,,dancosamb
355,So danco samba,Antonio Carlos Jobim,Getz and Gilberto,YES,dancosamb
356,So danco samba,Tamba trio,Getz and Gilberto,,dancosamb
357,So danco samba,Milt Jackson,Getz and Gilberto,,dancosamb
360,So danco samba,Antonio Carlos Jobim and Vinicius de Morais,Getz and Gilberto,,dancosamb
361,So danco samba,Sergio Mendes and Brasil,Getz and Gilberto,,dancosamb
362,Das modell,Kraftwerk,Kraftwerk,,dasmodell
363,The model,Hikashu,Kraftwerk,,dasmodell
364,The model,The Balanescu Quartet,Kraftwerk,,dasmodell
365,The model,Kraftwerk,Kraftwerk,YES,dasmodell
366,Das model,Nigra nebula,Kraftwerk,,dasmodell
367,The model,Index,Kraftwerk,,dasmodell
368,Day Tripper,The Beatles,The Beatles,YES,daytripper
369,Day Tripper,Unknown,The Beatles,,daytripper
370,Day Tripper,Sergio Mendes and Brazil66,The Beatles,,daytripper
371,Day Tripper,Domain,The Beatles,,daytripper
373,Day Tripper,Ocean Colour Scene,The Beatles,,daytripper
374,Day Tripper,Cleaners From Venus,The Beatles,,daytripper
375,Deaths door,Depeche Mode,Depeche Mode,YES,deathsdo
376,Deaths door,Sylvain Chauveau and Ensemble Nocturne,Depeche Mode,,deathsdo
377,Decarissimo,Astor Piazzolla,Astor Piazzolla,YES,decarissi
378,Decarissimo,Los tangueros,Astor Piazzolla,,decarissi
379,Decarissimo,Sergio and Odair Assad,Astor Piazzolla,,decarissi
380,Same deep water as you,The Cure,The Cure,YES,deepwater
381,Same deep water as you,Another nothing,The Cure,,deepwater
382,Se dejaba llevar,Antonio Vega,Antonio Vega,YES,dejaballev
383,Se dejaba llevar,Antonio Vega basico,Antonio Vega,,dejaballev
385,Dentaku,Kraftwerk,Kraftwerk,,dentaku
386,Dentaku,Kraftwerk,Kraftwerk,YES,dentaku
387,Dentaku,Satoru Wono,Kraftwerk,,dentaku
388,Der telefon anruf,Kraftwerk,Kraftwerk,YES,dertelefon
389,Der telefon anruf,Welle-Erdbal,Kraftwerk,,dertelefon
390,The telephone call,The Shining,Kraftwerk,,dertelefon
391,Desafinado,Antonio Carlos Jobim,Joao Gilberto,YES,desafinado
392,Desafinado,Herbie Mann and Joao Gilberto,Joao Gilberto,,desafinado
393,Desafinado,Paquito D Rivera,Joao Gilberto,,desafinado
394,Desafinado,Joao Gilberto,Joao Gilberto,,desafinado
395,Desafinado,Gal Costa,Joao Gilberto,,desafinado
396,Desafinado,Nogueira and Jobim,Joao Gilberto,,desafinado
399,Desafinado,Joao Gilberto,Joao Gilberto,,desafinado
400,Die roboter,Kraftwerk,Kraftwerk,YES,dieroboter
401,Die roboter,Kraftwerk,Kraftwerk,,dieroboter
402,Die roboter,Kraftwerk,Kraftwerk,,dieroboter
403,The robots,Kraftwerk,Kraftwerk,,dieroboter
404,The robots,The Balanescu Quartet,Kraftwerk,,dieroboter
405,Die roboter,Kraftwerk,Kraftwerk,,dieroboter
406,The robots,Senor Coconuts,Kraftwerk,,dieroboter
407,Die roboter,POD,Kraftwerk,,dieroboter
408,Die roboter,Kraftwerk,Kraftwerk,,dieroboter
410,Disintegration,The Cure,The Cure,YES,disintegr
411,Disintegration,Razed in black,The Cure,,disintegr
412,Disintegration,Converge,The Cure,,disintegr
413,Disintegration,Decadence,The Cure,,disintegr
414,Why dont we do it on the road,The Beatles,The Beatles,YES,doitroad
415,Why dont we do it on the road,Fred James,The Beatles,,doitroad
416,Why dont we do it on the road,Grateful dead,The Beatles,,doitroad
417,Dont leave me now,Pink Floyd,Pink Floyd,YES,dontleave
418,Dont leave me now,Shaw and Krieger,Pink Floyd,,dontleave
419,Dont let go,Manhattan Transfer,Manhattan Transfer,YES,dontletgo
420,Dont let go,Tom Jones,Manhattan Transfer,,dontletgo
421,Dont let me down,The Beatles,The Beatles,YES,dontletme
422,Dont let me down,Doug Dillard and Gene Clarke,The Beatles,,dontletme
423,Dont let me down,Planta and Raiz,The Beatles,,dontletme
424,Dont let me down,Ks Choice and Novastar,The Beatles,,dontletme
425,Dont let me down,Marcia Griffiths,The Beatles,,dontletme
426,Dont let me down,Stereophonics,The Beatles,,dontletme
427,Dont let me down,Matchbox 20,The Beatles,,dontletme
428,Dont let me down,Harry J all stars,The Beatles,,dontletme
429,Dont let me down,Beatles and Billy Preston,The Beatles,,dontletme
430,Dont let me down,Charles Walker,The Beatles,,dontletme
431,I dreamed a dream,Les miserables,Claude Michel Schonberg,,dreameddr
432,I dreamed a dream,The best of musicals,Claude Michel Schonberg,,dreameddr
433,Drive my car,The Beatles,The Beatles,YES,drivemycar
434,Drive my car,Bobby McFerrin,The Beatles,,drivemycar
435,El coche guiaras,Tony Ronald,The Beatles,,drivemycar
436,Drive my car,George Michael and Paul McCartney,The Beatles,,drivemycar
437,Drive my car,Takako Minekawa,The Beatles,,drivemycar
438,Drive my car,Paul McCartney and VVAA,The Beatles,,drivemycar
439,Echoes,Pink Floyd,Pink Floyd,YES,echoes
441,Echoes,Alien sex fiend,Pink Floyd,,echoes
442,Echoes,Unknown,Pink Floyd,,echoes
443,Eight days a week,The Beatles,The Beatles,YES,eightdays
444,Eight days a week,Baroque Chamber Orchestra,The Beatles,,eightdays
446,Eleanor Rigby,The Beatles,The Beatles,YES,eleanor
447,Eleanor Rigby,The four stops,The Beatles,,eleanor
449,Eleanor Rigby,John Pizzarelli,The Beatles,,eleanor
450,Eleanor Rigby,Thrice,The Beatles,,eleanor
452,Eleanor Rigby,Rare earth,The Beatles,,eleanor
453,No Eleanor Rigby,B B Seaton,The Beatles,,eleanor
454,Eleanor Rigby,Mystiquintet,The Beatles,,eleanor
455,Eleanor Rigby,Nonpalidece,The Beatles,,eleanor
456,Eleanor Rigby,Caetano Veloso,The Beatles,,eleanor
457,Eleanor Rigby,Grateful dead,The Beatles,,eleanor
458,Eleanor Rigby,Antidoping,The Beatles,,eleanor
459,Eleanor Rigby,Kansas,The Beatles,,eleanor
460,Eleanor Rigby,Vanilla Fudge,The Beatles,,eleanor
461,Eleanor Rigby,Godhead,The Beatles,,eleanor
462,Eleanor Rigby,Wes Montgomery,The Beatles,,eleanor
463,Eleanor Rigby,Kings Singers,The Beatles,,eleanor
465,Electric cafe,Kraftwerk,Kraftwerk,YES,electricca
467,Electric cafe,Xingu hill,Kraftwerk,,electricca
469,E luxo so,Lisa Ono,Unknown,,eluxoso
470,E luxo so,Stan Getz,Unknown,,eluxoso
472,Empty spaces,Pink Floyd,Pink Floyd,YES,emptyspa
473,Empty spaces,Sherwood and Krieger,Pink Floyd,,emptyspa
474,Endless love,Diana Ross and Lionel Richie,Diana Ross and Lionel Richie,YES,endlesslo
475,Endless love,Tom Jones and Dione Warwick,Diana Ross and Lionel Richie,,endlesslo
477,The end of the world,The Cure,The Cure,YES,endofwor
478,The end of the world,Piano tribute to The Cure,The Cure,,endofwor
479,Enjoy the silence,Depeche Mode,Depeche Mode,YES,enjoysilen
480,Enjoy the silence,Failure,Depeche Mode,,enjoysilen
481,Enjoy the silence,Depeche Mode (Timo Maas),Depeche Mode,,enjoysilen
482,Enjoy the silence,Depeche Mode (Ewan Pearson),Depeche Mode,,enjoysilen
483,Enjoy the silence,HIM,Depeche Mode,,enjoysilen
484,Enjoy the silence,The Ineffable Orchestra,Depeche Mode,,enjoysilen
486,Can you feel the silence,Talla 2XLC,Depeche Mode,,enjoysilen
487,El silencio,Ninos mutantes,Depeche Mode,,enjoysilen
488,Enjoy the silence,Depeche Mode (Bass line),Depeche Mode,,enjoysilen
489,Enjoy the silence,Sylvain Chauveau and Ensemble Nocturne,Depeche Mode,,enjoysilen
491,Enjoy the silence,Apoptygma Berzerk,Depeche Mode,,enjoysilen
492,Enjoy the silence,Depeche Mode (Richard X),Depeche Mode,,enjoysilen
493,Enjoy the silence,Depeche Mode (Ricki tik),Depeche Mode,,enjoysilen
494,Esperanza perdida,Joao Gilberto,Unknown,,esperanzap
495,Esperanza perdida,Joao Gilberto,Unknown,,esperanzap
